platform,nodes,edges,density,avg_clustering,avg_shortest_path,diameter,reciprocity,avg_in_degree,max_in_degree,avg_out_degree,n_weakly_connected_components
YouTube,9808,8830,9.2e-05,0.0022,14.5439,51,0.0002,0.9,10,0.9,1257
Bluesky,51,36,0.014118,0.0,1.8462,2,0.0,0.706,12,0.706,15
