community,n_users,n_posts,mean_sentiment,std_sentiment,pct_positive,pct_negative,pct_neutral,sentiment_label
410,5,5,0.1011,0.7023,0.6,0.4,0.0,Positive
411,5,5,0.0164,0.4175,0.4,0.4,0.2,Neutral
414,12,20,0.0748,0.3599,0.35,0.3,0.35,Positive
419,5,5,-0.0081,0.4563,0.2,0.2,0.6,Neutral
421,7,10,-0.0892,0.518,0.3,0.6,0.1,Negative
423,5,7,0.2659,0.5072,0.571,0.286,0.143,Positive
426,5,5,0.2749,0.2334,0.8,0.0,0.2,Positive
431,5,5,0.2274,0.642,0.6,0.2,0.2,Positive
432,5,5,-0.0403,0.1852,0.2,0.4,0.4,Neutral
435,11,14,0.1801,0.3992,0.429,0.143,0.429,Positive
441,10,10,0.198,0.5327,0.4,0.3,0.3,Positive
442,5,5,-0.0452,0.5706,0.2,0.2,0.6,Neutral
444,5,5,0.4454,0.3274,0.8,0.0,0.2,Positive
445,5,5,0.0032,0.3745,0.2,0.4,0.4,Neutral
446,5,5,0.1908,0.6569,0.6,0.2,0.2,Positive
449,22,29,0.0645,0.4161,0.379,0.241,0.379,Positive
452,9,10,0.1524,0.4196,0.5,0.2,0.3,Positive
453,5,5,-0.0022,0.2607,0.4,0.4,0.2,Neutral
455,13,20,-0.023,0.4307,0.25,0.4,0.35,Neutral
458,9,14,0.3019,0.4182,0.571,0.071,0.357,Positive
460,9,13,0.0698,0.3995,0.385,0.231,0.385,Positive
461,5,5,0.3642,0.3943,0.6,0.2,0.2,Positive
462,5,5,0.2826,0.4408,0.8,0.2,-0.0,Positive
463,5,5,-0.3026,0.7023,0.2,0.8,0.0,Negative
469,15,21,0.0169,0.4419,0.524,0.333,0.143,Neutral
473,5,5,-0.0021,0.4527,0.4,0.4,0.2,Neutral
476,10,19,-0.0767,0.5461,0.474,0.474,0.053,Negative
477,5,6,0.1961,0.2212,0.5,0.0,0.5,Positive
484,5,5,0.0446,0.31,0.2,0.2,0.6,Neutral
485,5,5,-0.0587,0.5848,0.4,0.4,0.2,Negative
490,5,6,0.3195,0.3741,0.833,0.167,-0.0,Positive
499,5,7,-0.0092,0.6274,0.571,0.429,0.0,Neutral
520,5,5,-0.0369,0.5223,0.4,0.4,0.2,Neutral
522,5,5,0.1852,0.5732,0.6,0.2,0.2,Positive
523,5,5,-0.2811,0.508,0.2,0.4,0.4,Negative
524,5,5,0.426,0.4155,0.8,0.2,-0.0,Positive
526,15,19,0.2311,0.4414,0.579,0.158,0.263,Positive
528,5,5,0.0867,0.4746,0.4,0.4,0.2,Positive
529,29,42,0.0488,0.5131,0.405,0.405,0.19,Neutral
530,85,125,0.1154,0.4448,0.464,0.272,0.264,Positive
532,5,5,0.4266,0.2634,0.8,0.0,0.2,Positive
533,16,21,0.1367,0.477,0.619,0.238,0.143,Positive
534,5,6,-0.1995,0.3073,0.167,0.667,0.167,Negative
535,22,30,0.0726,0.4561,0.367,0.367,0.267,Positive
538,36,57,0.1095,0.4646,0.439,0.263,0.298,Positive
539,5,5,0.2191,0.6768,0.6,0.4,0.0,Positive
540,6,7,0.4156,0.3529,0.714,0.143,0.143,Positive
541,5,5,-0.2627,0.3681,0.2,0.6,0.2,Negative
543,5,5,-0.0764,0.1707,0.0,0.2,0.8,Negative
544,5,5,0.0549,0.3188,0.4,0.2,0.4,Positive
545,5,5,-0.15,0.2481,0.0,0.4,0.6,Negative
548,6,7,-0.1335,0.363,0.143,0.571,0.286,Negative
552,5,7,0.4385,0.3089,0.857,0.0,0.143,Positive
555,11,12,0.1498,0.2959,0.417,0.083,0.5,Positive
563,5,5,0.0804,0.1797,0.2,0.0,0.8,Positive
564,5,5,0.1553,0.3371,0.4,0.2,0.4,Positive
566,5,5,-0.04,0.6296,0.4,0.4,0.2,Neutral
571,5,7,-0.0841,0.2472,0.143,0.286,0.571,Negative
587,5,5,-0.1965,0.6199,0.2,0.6,0.2,Negative
588,5,5,-0.1931,0.2831,0.0,0.4,0.6,Negative
589,5,5,0.3016,0.4162,0.4,0.0,0.6,Positive
591,9,10,0.1116,0.5645,0.5,0.3,0.2,Positive
592,5,5,-0.1536,0.2333,0.0,0.4,0.6,Negative
593,5,5,0.0083,0.4291,0.4,0.2,0.4,Neutral
594,7,11,0.1756,0.5148,0.273,0.182,0.545,Positive
595,5,5,-0.02,0.3478,0.2,0.2,0.6,Neutral
596,5,5,-0.1403,0.3881,0.2,0.4,0.4,Negative
597,6,8,0.0678,0.3592,0.25,0.125,0.625,Positive
599,5,5,-0.0088,0.2252,0.2,0.2,0.6,Neutral
601,11,13,0.0316,0.4024,0.385,0.308,0.308,Neutral
603,5,5,0.0312,0.2599,0.2,0.2,0.6,Neutral
604,5,5,0.0707,0.5854,0.4,0.2,0.4,Positive
616,5,5,-0.1225,0.2739,0.0,0.2,0.8,Negative
627,5,5,0.0749,0.2334,0.4,0.2,0.4,Positive
628,5,5,-0.0974,0.3872,0.2,0.6,0.2,Negative
629,5,5,0.1644,0.5392,0.8,0.2,-0.0,Positive
630,5,5,-0.0818,0.3409,0.4,0.6,0.0,Negative
631,5,5,0.0118,0.1815,0.2,0.2,0.6,Neutral
633,5,5,-0.1021,0.4716,0.2,0.2,0.6,Negative
634,7,8,0.068,0.6324,0.5,0.5,0.0,Positive
636,5,5,-0.0501,0.2578,0.2,0.2,0.6,Negative
641,5,6,0.1863,0.2783,0.5,0.0,0.5,Positive
643,5,5,-0.0764,0.2578,0.2,0.4,0.4,Negative
644,5,5,0.4184,0.3333,0.8,0.0,0.2,Positive
645,5,7,0.2473,0.5517,0.429,0.286,0.286,Positive
647,8,13,-0.023,0.4524,0.385,0.538,0.077,Neutral
648,5,5,0.1963,0.5932,0.6,0.2,0.2,Positive
649,5,5,-0.0981,0.1937,0.2,0.4,0.4,Negative
653,5,12,0.2567,0.577,0.583,0.25,0.167,Positive
667,5,5,0.204,0.2986,0.4,0.0,0.6,Positive
669,76,106,0.1587,0.4458,0.519,0.274,0.208,Positive
670,47,66,-0.1734,0.5379,0.273,0.5,0.227,Negative
671,5,5,0.0918,0.3946,0.4,0.2,0.4,Positive
672,11,15,-0.0559,0.5494,0.267,0.4,0.333,Negative
679,5,5,0.1753,0.4604,0.4,0.2,0.4,Positive
680,75,133,0.0804,0.4673,0.429,0.293,0.278,Positive
687,5,5,0.3477,0.4825,0.4,0.0,0.6,Positive
690,114,185,0.1007,0.4829,0.443,0.308,0.249,Positive
691,5,5,0.1748,0.6742,0.4,0.2,0.4,Positive
694,5,5,0.06,0.1754,0.4,0.2,0.4,Positive
704,5,5,0.1637,0.6445,0.8,0.2,-0.0,Positive
705,6,6,-0.0299,0.3744,0.167,0.5,0.333,Neutral
706,11,18,0.2916,0.6178,0.667,0.278,0.056,Positive
709,5,5,0.0718,0.3732,0.4,0.2,0.4,Positive
711,5,5,0.0931,0.2107,0.4,0.2,0.4,Positive
712,5,5,-0.2456,0.3386,0.0,0.4,0.6,Negative
713,5,5,-0.2641,0.4791,0.2,0.6,0.2,Negative
715,10,17,0.6051,0.4126,0.765,0.059,0.176,Positive
719,5,6,0.2758,0.5189,0.667,0.167,0.167,Positive
720,5,5,0.1152,0.6274,0.6,0.4,0.0,Positive
724,5,5,0.4654,0.1303,1.0,0.0,0.0,Positive
725,27,37,0.2184,0.4639,0.595,0.243,0.162,Positive
726,30,45,0.2534,0.4928,0.6,0.244,0.156,Positive
728,23,31,0.218,0.47,0.548,0.194,0.258,Positive
729,5,5,-0.0433,0.5085,0.4,0.4,0.2,Neutral
733,5,5,-0.0242,0.4987,0.4,0.4,0.2,Neutral
734,5,5,-0.0165,0.4379,0.2,0.2,0.6,Neutral
735,5,5,0.1002,0.4052,0.4,0.2,0.4,Positive
