node,in_degree,out_degree,betweenness,closeness,pagerank,eigenvector,hub_score,authority_score,in_degree_raw,out_degree_raw,comment_count,community,role,role_score
sanders.senate.gov,1.0,0.0,0.0,0.24,0.15321731242580233,0.0,-0.0,0.9999999999999998,12,0,2,11,Authority,0.85
goodstephen.bsky.social,0.0,1.0,0.0,0.12,0.013679777946978047,0.0,1.2113885218120391e-17,3.704959625259016e-18,0,6,2,13,Hub,0.5000000000000001
seanofthesea.bsky.social,0.0,0.16666666666666666,0.0,0.1252173913043478,0.013679777946978047,0.0,0.08333333333333333,-1.3629792247454495e-17,0,1,1,11,Hub,0.3833333333333333
russelltaylorphd.bsky.social,0.0,0.16666666666666666,0.0,0.1252173913043478,0.013679777946978047,0.0,0.08333333333333333,-7.34460591991717e-19,0,1,1,11,Hub,0.3833333333333333
kittykowalski.bsky.social,0.0,0.16666666666666666,0.0,0.1252173913043478,0.013679777946978047,0.0,0.08333333333333333,9.126875520075242e-19,0,1,2,11,Hub,0.3833333333333333
mondoray.bsky.social,0.0,0.16666666666666666,0.0,0.1252173913043478,0.013679777946978047,0.0,0.08333333333333333,-2.612451873819829e-17,0,1,1,11,Hub,0.3833333333333333
hondo61s.bsky.social,0.0,0.16666666666666666,0.0,0.1252173913043478,0.013679777946978047,0.0,0.08333333333333333,8.333319634516877e-19,0,1,1,11,Hub,0.3833333333333333
freeairgstring.bsky.social,0.0,0.16666666666666666,0.0,0.1252173913043478,0.013679777946978047,0.0,0.08333333333333333,3.27306794007359e-17,0,1,1,11,Hub,0.3833333333333333
realitycheck.bsky.social,0.0,0.16666666666666666,0.0,0.1252173913043478,0.013679777946978047,0.0,0.08333333333333333,9.876632399589025e-18,0,1,1,11,Hub,0.3833333333333333
noknot01.bsky.social,0.0,0.16666666666666666,0.0,0.1252173913043478,0.013679777946978047,0.0,0.08333333333333333,-2.2354672286961055e-17,0,1,1,11,Hub,0.3833333333333333
joey-pererez.bsky.social,0.0,0.16666666666666666,0.0,0.1252173913043478,0.013679777946978047,0.0,0.08333333333333333,1.200505552981234e-19,0,1,1,11,Hub,0.3833333333333333
jusmom.bsky.social,0.0,0.16666666666666666,0.0,0.1252173913043478,0.013679777946978047,0.0,0.08333333333333333,-1.1567471978692797e-17,0,1,1,11,Hub,0.3833333333333333
okiebluefire.bsky.social,0.0,0.16666666666666666,0.0,0.1252173913043478,0.013679777946978047,0.0,0.08333333333333333,-5.187818487977247e-17,0,1,1,11,Hub,0.3833333333333333
gordumb.bsky.social,0.0,0.16666666666666666,0.0,0.1252173913043478,0.013679777946978047,0.0,0.08333333333333333,8.083576563186969e-18,0,1,1,11,Hub,0.3833333333333333
shoshanade.bsky.social,0.0,0.5,0.0,0.06,0.013679777946978047,0.0,-9.8626216446805e-18,-1.8655917528670268e-17,0,3,1,10,Hub,0.25
tnewmsblues.bsky.social,0.0,0.3333333333333333,0.0,0.04,0.013679777946978047,0.0,1.2081424560078307e-17,-0.0,0,2,1,2,Hub,0.16666666666666674
lumincity.bsky.social,0.0,0.3333333333333333,0.0,0.04,0.013679777946978047,0.0,4.7502768919972766e-18,-1.0344419685591882e-17,0,2,1,14,Hub,0.1666666666666667
